Id,SalePrice
1461,128793.69709175297
1462,152742.31331545833
1463,171131.4811618636
1464,182103.27161462317
1465,193229.78534026735
1466,184222.6617924342
1467,170125.5391912189
1468,174113.95315070986
1469,186487.9675544615
1470,119370.13791677963
1471,205503.56656643926
1472,92726.61337997997
1473,94776.27471346027
1474,151020.3393473582
1475,143065.3486225113
1476,344655.2063105722
1477,239249.06785149826
1478,296628.87012868724
1479,256696.46945016974
1480,467701.51307057275
1481,324734.4443191579
1482,207839.99569927022
1483,180513.37383911456
1484,174404.52225137458
1485,173678.29369816248
1486,202107.5947139432
1487,323440.0743235683
1488,243637.01149153762
1489,197674.27421709703
1490,190466.9408605107
1491,187516.06296676822
1492,90836.84047862631
1493,183826.30961011865
1494,289351.880225873
1495,292114.9271757736
1496,227293.92529457473
1497,192780.26235343723
1498,153863.51573369335
1499,154455.78642350787
1500,147058.50390627762
1501,170941.16388997802
1502,161836.91924595245
1503,269174.7032368788
1504,227880.8222887523
1505,222073.64685256316
1506,186023.02293513378
1507,211376.55553171682
1508,193982.61224887244
1509,163264.21688650709
1510,146013.81682578282
1511,145877.98339811206
1512,156288.3032152135
1513,162289.62218593335
1514,153996.90412770424
1515,172364.57114455165
1516,163124.67793049436
1517,150136.68264551266
1518,134206.2050803393
1519,222115.17726368108
1520,133719.70997488048
1521,139373.26793694624
1522,161486.95468995796
1523,124726.03198210438
1524,122954.42000220207
1525,126803.64492412591
1526,130858.80561510276
1527,101819.47402375788
1528,130597.64491272117
1529,138854.50633137548
1530,172854.61040939912
1531,122553.84455908777
1532,107544.9379829925
1533,145792.50340336811
1534,118641.54518534051
1535,143703.0294755877
1536,116946.0242127975
1537,71023.6397009937
1538,150880.91458679654
1539,175287.64796256204
1540,99815.20838291301
1541,147158.48281098742
1542,133651.03923204698
1543,227817.15636285077
1544,78658.15623130702
1545,113486.41050499477
1546,116425.23562501659
1547,128780.99158720978
1548,126935.05324331806
1549,109599.39296309018
1550,134451.7484655445
1551,121627.5097824435
1552,133051.32934221506
1553,138932.28021012607
1554,105367.99015962008
1555,166572.72434656747
1556,88898.14070545508
1557,124020.54979896577
1558,83715.9357309127
1559,111977.78211111328
1560,139815.9097952323
1561,128448.24094563846
1562,126859.25904983764
1563,127011.4621272413
1564,162848.02519682297
1565,149019.7166250778
1566,217618.92336083678
1567,80434.95385615567
1568,214200.1714418419
1569,141710.62115910614
1570,128849.45404772456
1571,129768.82812965564
1572,137500.48770167227
1573,250696.16517676783
1574,124012.29604003813
1575,207643.73619835635
1576,209848.48958340735
1577,195731.07740027754
1578,146995.875897406
1579,139685.44549320012
1580,188426.82302790548
1581,132971.6747086152
1582,130541.04720993353
1583,334434.31425297994
1584,237367.93454988115
1585,140236.13553649135
1586,70944.53217696384
1587,102382.9660645796
1588,142426.77482978007
1589,111226.17511491527
1590,134533.16073019037
1591,101856.07792028421
1592,130119.65303704242
1593,110506.36730590467
1594,147779.025306632
1595,111454.87426755276
1596,242116.65936285612
1597,158776.32912673688
1598,177546.73750070122
1599,172470.15485027034
1600,178541.8853996945
1601,79510.01220895113
1602,117995.2299706425
1603,95690.17786465169
1604,284312.1567329026
1605,238623.85779662168
1606,171922.92776175763
1607,177841.43226914835
1608,210463.2852347911
1609,185205.7528602785
1610,152665.98008668356
1611,146510.17219649212
1612,156555.0394037767
1613,158378.89629695256
1614,119198.70191180619
1615,87202.70730475507
1616,84934.83996198728
1617,91684.39346198764
1618,126738.36612725079
1619,125604.42434658395
1620,147497.97624858463
1621,137208.55357306148
1622,142037.6279636343
1623,273983.6950134092
1624,209947.7601256529
1625,135704.07368623855
1626,169994.30211491726
1627,185601.4684950544
1628,268267.62315488345
1629,172742.17360092152
1630,342535.4162196827
1631,204385.35884022852
1632,240077.1400960601
1633,170879.93110606878
1634,182001.8605695801
1635,177140.12021776979
1636,164916.1365888415
1637,173088.078410847
1638,193619.24250384804
1639,185356.4053735276
1640,265446.30726217944
1641,186170.0713577255
1642,224272.6172896263
1643,217236.77283827748
1644,225452.37967478042
1645,177985.9879405842
1646,153335.05106866587
1647,169339.0092335619
1648,138170.76116076138
1649,133446.46711470993
1650,119929.1911971268
1651,122193.88178704782
1652,93767.6861799924
1653,94839.72340665344
1654,153819.3048821818
1655,161192.36339830604
1656,148407.39214822932
1657,154156.81607678786
1658,150744.32989123897
1659,147091.44212463073
1660,143827.74351539448
1661,455210.52086748823
1662,404918.87365252763
1663,396607.03014188056
1664,438153.2056869401
1665,305155.3006730018
1666,326538.0935612085
1667,365450.3071678081
1668,320083.8182228457
1669,279583.7160091455
1670,324201.81669096136
1671,275472.2136973174
1672,490342.05393426714
1673,282970.68840325234
1674,251039.1739513391
1675,188108.02033356164
1676,189533.4583419796
1677,217429.25292549632
1678,480099.1380920923
1679,387685.0252731015
1680,313528.37285111606
1681,229332.69277159675
1682,302620.8950707362
1683,185349.28705133285
1684,167569.2743460199
1685,173025.36575480667
1686,169179.66422299613
1687,167224.755954688
1688,184410.13699920356
1689,183625.7247731163
1690,183409.6808283934
1691,178929.05370423154
